Frequency (Hz)	Level (dB)
21.533203	-56.396851
43.066406	-56.366238
64.599609	-56.136837
86.132812	-56.041260
107.666016	-55.817749
129.199219	-55.373493
150.732422	-55.100426
172.265625	-54.883183
193.798828	-54.265720
215.332031	-53.602135
236.865234	-52.994514
258.398438	-52.142952
279.931641	-51.127632
301.464844	-49.744019
322.998047	-47.872562
344.531250	-44.841045
366.064453	-40.162846
387.597656	-31.503374
409.130859	-13.892474
430.664062	-1.278284
452.197266	-2.046744
473.730469	-17.418081
495.263672	-32.982533
516.796875	-41.233578
538.330078	-46.023338
559.863281	-49.160397
581.396484	-51.335846
602.929688	-53.175552
624.462891	-54.393570
645.996094	-55.478443
667.529297	-56.603310
689.062500	-57.524376
710.595703	-58.178726
732.128906	-58.992298
753.662109	-59.788792
775.195312	-60.259014
796.728516	-60.793343
818.261719	-61.430584
839.794922	-62.037487
861.328125	-62.363762
882.861328	-62.811569
904.394531	-63.440735
925.927734	-63.885792
947.460938	-64.222801
968.994141	-64.672707
990.527344	-65.022209
1012.060547	-65.348091
1033.593750	-65.721733
1055.126953	-66.069130
1076.660156	-66.419853
1098.193359	-66.725990
1119.726562	-67.021179
1141.259766	-67.308952
1162.792969	-67.596909
1184.326172	-67.873360
1205.859375	-68.147316
1227.392578	-68.405571
1248.925781	-68.648300
1270.458984	-68.884277
1291.992188	-69.113541
1313.525391	-69.342064
1335.058594	-69.563942
1356.591797	-69.777435
1378.125000	-69.985321
1399.658203	-70.189819
1421.191406	-70.385750
1442.724609	-70.573975
1464.257812	-70.750168
1485.791016	-70.922256
1507.324219	-71.098228
1528.857422	-71.276993
1550.390625	-71.458519
1571.923828	-71.633476
1593.457031	-71.802826
1614.990234	-71.959969
1636.523438	-72.116707
1658.056641	-72.276962
1679.589844	-72.444229
1701.123047	-72.614685
1722.656250	-72.786034
1744.189453	-72.948936
1765.722656	-73.094879
1787.255859	-73.227066
1808.789062	-73.342873
1830.322266	-73.455673
1851.855469	-73.563438
1873.388672	-73.671219
1894.921875	-73.779900
1916.455078	-73.894264
1937.988281	-74.014183
1959.521484	-74.141502
1981.054688	-74.275902
2002.587891	-74.411743
2024.121094	-74.541649
2045.654297	-74.661125
2067.187500	-74.773193
2088.720703	-74.879204
2110.253906	-74.979218
2131.787109	-75.074196
2153.320312	-75.172180
2174.853516	-75.274757
2196.386719	-75.380608
2217.919922	-75.489517
2239.453125	-75.600746
2260.986328	-75.708000
2282.519531	-75.804085
2304.052734	-75.894234
2325.585938	-75.984909
2347.119141	-76.075462
2368.652344	-76.165604
2390.185547	-76.257889
2411.718750	-76.345688
2433.251953	-76.431526
2454.785156	-76.516624
2476.318359	-76.603691
2497.851562	-76.694710
2519.384766	-76.785934
2540.917969	-76.873558
2562.451172	-76.958740
2583.984375	-77.051918
2605.517578	-77.160225
2627.050781	-77.282837
2648.583984	-77.408447
2670.117188	-77.517082
2691.650391	-77.593552
2713.183594	-77.641357
2734.716797	-77.679695
2756.250000	-77.731361
2777.783203	-77.810989
2799.316406	-77.915337
2820.849609	-78.026039
2842.382812	-78.121086
2863.916016	-78.184792
2885.449219	-78.218292
2906.982422	-78.241920
2928.515625	-78.277832
2950.048828	-78.338104
2971.582031	-78.420387
2993.115234	-78.513634
3014.648438	-78.604416
3036.181641	-78.682480
3057.714844	-78.746803
3079.248047	-78.802795
3100.781250	-78.857712
3122.314453	-78.915199
3143.847656	-78.976555
3165.380859	-79.042725
3186.914062	-79.116318
3208.447266	-79.197906
3229.980469	-79.290665
3251.513672	-79.384445
3273.046875	-79.476303
3294.580078	-79.562439
3316.113281	-79.640434
3337.646484	-79.709785
3359.179688	-79.768806
3380.712891	-79.816490
3402.246094	-79.856171
3423.779297	-79.900665
3445.312500	-79.961914
3466.845703	-80.039902
3488.378906	-80.122910
3509.912109	-80.200195
3531.445312	-80.269394
3552.978516	-80.332825
3574.511719	-80.390320
3596.044922	-80.434303
3617.578125	-80.455940
3639.111328	-80.453102
3660.644531	-80.437889
3682.177734	-80.431442
3703.710938	-80.462265
3725.244141	-80.528122
3746.777344	-80.622383
3768.310547	-80.727493
3789.843750	-80.826126
3811.376953	-80.909523
3832.910156	-80.976860
3854.443359	-81.031746
3875.976562	-81.077347
3897.509766	-81.114464
3919.042969	-81.144531
3940.576172	-81.172501
3962.109375	-81.204460
3983.642578	-81.245293
4005.175781	-81.295090
4026.708984	-81.350548
4048.242188	-81.407181
4069.775391	-81.457741
4091.308594	-81.497818
4112.841797	-81.527748
4134.375000	-81.551918
4155.908203	-81.575058
4177.441406	-81.600021
4198.974609	-81.628021
4220.507812	-81.659889
4242.041016	-81.697273
4263.574219	-81.744217
4285.107422	-81.808983
4306.640625	-81.896515
4328.173828	-82.002808
4349.707031	-82.116501
4371.240234	-82.220612
4392.773438	-82.299606
4414.306641	-82.346054
4435.839844	-82.363464
4457.373047	-82.366669
4478.906250	-82.369186
4500.439453	-82.379929
4521.972656	-82.401070
4543.505859	-82.418823
4565.039062	-82.394562
4586.572266	-82.372833
4608.105469	-82.354355
4629.638672	-82.390366
4651.171875	-82.507423
4672.705078	-82.692642
4694.238281	-82.886276
4715.771484	-82.999191
4737.304688	-82.979446
4758.837891	-82.863747
4780.371094	-82.750694
4801.904297	-82.729439
4823.437500	-82.823448
4844.970703	-82.981361
4866.503906	-83.115685
4888.037109	-83.170021
4909.570312	-83.157082
4931.103516	-83.130783
4952.636719	-83.138504
4974.169922	-83.194565
4995.703125	-83.280319
5017.236328	-83.360184
5038.769531	-83.403343
5060.302734	-83.396057
5081.835938	-83.354240
5103.369141	-83.305695
5124.902344	-83.270462
5146.435547	-83.257713
5167.968750	-83.263016
5189.501953	-83.285034
5211.035156	-83.336029
5232.568359	-83.435013
