Frequency (Hz)	Level (dB)
21.533203	-56.529198
43.066406	-52.188511
64.599609	-54.291206
86.132812	-69.685165
107.666016	-72.906868
129.199219	-79.416855
150.732422	-81.655197
172.265625	-82.038925
193.798828	-77.133736
215.332031	-70.001228
236.865234	-71.453384
258.398438	-72.084045
279.931641	-68.976646
301.464844	-63.621712
322.998047	-58.229733
344.531250	-52.898411
366.064453	-48.705536
387.597656	-40.828259
409.130859	-23.217188
430.664062	-10.602880
452.197266	-11.354207
473.730469	-26.666494
495.263672	-42.284611
516.796875	-50.340282
538.330078	-54.380077
559.863281	-56.834740
581.396484	-57.545815
602.929688	-59.097630
624.462891	-59.773716
645.996094	-58.208870
667.529297	-57.571629
689.062500	-58.540302
710.595703	-59.952785
732.128906	-61.072170
753.662109	-60.341984
775.195312	-58.806614
796.728516	-57.303417
818.261719	-54.054363
839.794922	-43.317764
861.328125	-17.583345
882.861328	-13.225699
904.394531	-20.980642
925.927734	-46.273804
947.460938	-52.658512
968.994141	-55.351768
990.527344	-58.178425
1012.060547	-59.951912
1033.593750	-62.051609
1055.126953	-63.405102
1076.660156	-63.086273
1098.193359	-61.786293
1119.726562	-62.878105
1141.259766	-65.250862
1162.792969	-65.532837
1184.326172	-65.432793
1205.859375	-64.561172
1227.392578	-61.008324
1248.925781	-59.290558
1270.458984	-52.230415
1291.992188	-32.376156
1313.525391	-22.057491
1335.058594	-24.338293
1356.591797	-42.869873
1378.125000	-55.216331
1399.658203	-60.180882
1421.191406	-62.848843
1442.724609	-67.708870
1464.257812	-68.413429
1485.791016	-73.112007
1507.324219	-74.553207
1528.857422	-70.246201
1550.390625	-69.731384
1571.923828	-74.723938
1593.457031	-76.752014
1614.990234	-77.092186
1636.523438	-76.747368
1658.056641	-72.400314
1679.589844	-69.702827
1701.123047	-68.406181
1722.656250	-58.660397
1744.189453	-39.233826
1765.722656	-36.490147
1787.255859	-46.157791
1808.789062	-66.116264
1830.322266	-71.553505
1851.855469	-74.147987
1873.388672	-75.088043
1894.921875	-77.956772
1916.455078	-77.788033
1937.988281	-78.636520
1959.521484	-74.496590
1981.054688	-71.025322
2002.587891	-71.929764
2024.121094	-72.495728
2045.654297	-71.439384
2067.187500	-68.171104
2088.720703	-65.795822
2110.253906	-66.245438
2131.787109	-68.523979
2153.320312	-61.544189
2174.853516	-42.859303
2196.386719	-34.587891
2217.919922	-38.411091
2239.453125	-59.904133
2260.986328	-68.844643
2282.519531	-70.441765
2304.052734	-72.257370
2325.585938	-72.765900
2347.119141	-73.210693
2368.652344	-75.971649
2390.185547	-76.052460
2411.718750	-71.508041
2433.251953	-71.415382
2454.785156	-74.055389
2476.318359	-72.523598
2497.851562	-73.453308
2519.384766	-71.980392
2540.917969	-70.211494
2562.451172	-68.497910
2583.984375	-67.037018
2605.517578	-59.362553
2627.050781	-43.410522
2648.583984	-42.065296
2670.117188	-53.583298
2691.650391	-68.800552
2713.183594	-71.275551
2734.716797	-70.077919
2756.250000	-74.015350
2777.783203	-74.066605
2799.316406	-76.386055
2820.849609	-76.348732
2842.382812	-72.933823
2863.916016	-70.379578
2885.449219	-75.421776
2906.982422	-77.956360
2928.515625	-78.577934
2950.048828	-78.141396
2971.582031	-76.312119
2993.115234	-74.578453
3014.648438	-73.908188
3036.181641	-71.621086
3057.714844	-53.318794
3079.248047	-46.747494
3100.781250	-52.083168
3122.314453	-72.498192
3143.847656	-73.164581
3165.380859	-71.811996
3186.914062	-72.594063
3208.447266	-75.876404
3229.980469	-74.342751
3251.513672	-75.518143
3273.046875	-75.254227
3294.580078	-71.872528
3316.113281	-74.143677
3337.646484	-77.701515
3359.179688	-79.306450
3380.712891	-79.635765
3402.246094	-79.004967
3423.779297	-77.107216
3445.312500	-78.093002
3466.845703	-76.558586
3488.378906	-63.963375
3509.912109	-51.097298
3531.445312	-51.380062
3552.978516	-65.589027
3574.511719	-79.061386
3596.044922	-79.788239
3617.578125	-80.962601
3639.111328	-83.718880
3660.644531	-84.334427
3682.177734	-83.271751
3703.710938	-86.090363
3725.244141	-83.245911
3746.777344	-82.727592
3768.310547	-87.026009
